developer_id,materials_completed,active_days,avg_rating,avg_score,consistency_score,fast_learner_flag,reflective_learner_flag,study_duration_total,cluster,learner_type
3390,87,46,1.34,0.0,0.63,1,1,961.0,0,Consistent Learner
5774,66,34,1.0,0.0,0.47,1,1,962.0,0,Consistent Learner
11836,80,33,2.0,80.0,0.45,1,1,1.0,0,Consistent Learner
17833,64,40,3.12,0.0,0.55,1,0,486.0,0,Consistent Learner
32258,114,59,2.64,0.0,0.81,1,1,1924.0,1,Fast Learner
96989,46,32,2.59,0.0,0.44,1,1,4.0,0,Consistent Learner
102556,93,61,2.24,100.0,0.84,1,1,1956.0,1,Fast Learner
110119,64,30,2.75,0.0,0.41,1,1,0.0,0,Consistent Learner
113842,60,26,1.95,0.0,0.36,1,1,0.0,0,Consistent Learner
153116,60,32,2.31,0.0,0.44,1,1,0.0,0,Consistent Learner
433737,97,50,1.13,0.0,0.68,1,1,1447.0,1,Fast Learner
494342,83,46,2.65,0.0,0.63,1,1,1010.0,0,Consistent Learner
496740,94,42,1.62,95.0,0.58,1,1,2883.0,1,Fast Learner
518124,84,33,2.52,100.0,0.45,1,1,1442.0,1,Fast Learner
531259,128,73,1.17,80.0,1.0,1,1,483.0,1,Fast Learner
791882,68,45,2.6,0.0,0.62,1,1,480.0,0,Consistent Learner
886996,93,34,3.65,95.0,0.47,1,0,2.0,0,Consistent Learner
938276,45,14,2.65,0.0,0.19,1,1,482.0,0,Consistent Learner
1202367,103,54,0.43,0.0,0.74,1,1,1.0,0,Consistent Learner
1319457,71,52,3.88,0.0,0.71,1,0,481.0,0,Consistent Learner
1776122,58,43,0.85,0.0,0.59,1,1,6.0,0,Consistent Learner
2131303,102,52,2.77,100.0,0.71,1,1,1244.0,1,Fast Learner
2135328,88,53,3.0,0.0,0.73,1,0,973.0,0,Consistent Learner
2395575,67,55,2.2,100.0,0.75,1,1,563.0,1,Fast Learner
3557828,72,58,1.67,90.0,0.79,1,1,586.0,1,Fast Learner
5021477,2,2,0.0,0.0,0.03,0,1,0.0,2,Reflective Learner
5044844,14,12,3.5,0.0,0.16,1,0,0.0,0,Consistent Learner
5051374,6,5,0.0,0.0,0.07,1,1,0.0,2,Reflective Learner
5181638,1,1,0.0,0.0,0.01,0,1,0.0,2,Reflective Learner
5410562,1,1,0.0,0.0,0.01,0,1,0.0,2,Reflective Learner
5410865,2,1,0.0,0.0,0.01,0,1,0.0,2,Reflective Learner
